file,line,href,severity,reason,snippet
includes/templates/components/landings/agencia-hero.php,28,#,ALTO,href_vacio,"<a href=""#"" class=""inline-flex items-center px-8 py-4 bg-gradient-to-r from-pink-500 to-purple-500 text-white font-bold rounded-xl hover:from-pink-600 hover:to-purple-600 transitio"
includes/templates/components/landings/agencia-hero.php,31,#,ALTO,href_vacio,"<a href=""#"" class=""inline-flex items-center px-8 py-4 bg-white/10 text-white border border-white/20 font-semibold rounded-xl hover:bg-white/20 transition-all backdrop-blur-sm"">"
includes/templates/components/landings/empresarial-servicios.php,31,#,ALTO,href_vacio,"<a href=""#"" class=""inline-flex items-center text-blue-600 font-medium mt-4 group-hover:text-blue-700"">"
includes/templates/components/landings/empresarial-equipo.php,30,#,ALTO,href_vacio,"<a href=""#"" class=""w-8 h-8 bg-blue-600 text-white rounded-full flex items-center justify-center hover:bg-blue-700 transition-colors"">"
includes/templates/components/landings/empresarial-equipo.php,33,#,ALTO,href_vacio,"<a href=""#"" class=""w-8 h-8 bg-gray-800 text-white rounded-full flex items-center justify-center hover:bg-gray-900 transition-colors"">"
includes/templates/components/landings/empresarial-equipo.php,48,#,ALTO,href_vacio,"<a href=""#"" class=""inline-flex items-center px-6 py-3 bg-white text-blue-600 font-semibold rounded-xl hover:bg-blue-50 transition-colors"">"
includes/templates/components/landings/empresarial-hero.php,31,#servicios,MEDIO,anchor_global_ok,"<a href=""#servicios"" class=""inline-flex items-center px-8 py-4 border-2 border-white/30 hover:border-white/60 text-white font-semibold rounded-xl transition-all"">"
includes/templates/components/landings/saas-features.php,68,#,ALTO,href_vacio,"<a href=""#"" class=""inline-flex items-center text-violet-600 font-semibold hover:text-violet-700 transition-colors"">"
includes/templates/components/radio/programacion.php,231,#,ALTO,href_vacio,"<a href=""#"""
includes/templates/components/cursos/categorias-cursos.php,140,#categorias-completas,ALTO,anchor_sin_id_en_templates,"<a href=""#categorias-completas"""
includes/templates/components/biblioteca/generos-nav.php,23,#,ALTO,href_vacio,"<a href=""#"" class=""group flex items-center px-4 py-2.5 md:py-2 rounded-lg bg-purple-600 text-white font-medium transition-all duration-300 hover:bg-purple-700 hover:shadow-md"">"
includes/templates/components/biblioteca/generos-nav.php,32,#,ALTO,href_vacio,"<a href=""#"" class=""group flex items-center px-4 py-2.5 md:py-2 rounded-lg text-gray-700 font-medium transition-all duration-300 hover:bg-purple-50 hover:text-purple-700 hover:shado"
includes/templates/components/biblioteca/generos-nav.php,41,#,ALTO,href_vacio,"<a href=""#"" class=""group flex items-center px-4 py-2.5 md:py-2 rounded-lg text-gray-700 font-medium transition-all duration-300 hover:bg-purple-50 hover:text-purple-700 hover:shado"
includes/templates/components/biblioteca/generos-nav.php,50,#,ALTO,href_vacio,"<a href=""#"" class=""group flex items-center px-4 py-2.5 md:py-2 rounded-lg text-gray-700 font-medium transition-all duration-300 hover:bg-purple-50 hover:text-purple-700 hover:shado"
includes/templates/components/biblioteca/generos-nav.php,59,#,ALTO,href_vacio,"<a href=""#"" class=""group flex items-center px-4 py-2.5 md:py-2 rounded-lg text-gray-700 font-medium transition-all duration-300 hover:bg-purple-50 hover:text-purple-700 hover:shado"
includes/templates/components/biblioteca/generos-nav.php,68,#,ALTO,href_vacio,"<a href=""#"" class=""group flex items-center px-4 py-2.5 md:py-2 rounded-lg text-gray-700 font-medium transition-all duration-300 hover:bg-purple-50 hover:text-purple-700 hover:shado"
includes/templates/components/biblioteca/generos-nav.php,91,#,ALTO,href_vacio,"<a href=""#"" class=""px-3 py-1.5 text-sm text-gray-600 bg-gray-50 rounded-full hover:bg-purple-50 hover:text-purple-600 transition-colors"">"
includes/templates/components/biblioteca/generos-nav.php,94,#,ALTO,href_vacio,"<a href=""#"" class=""px-3 py-1.5 text-sm text-gray-600 bg-gray-50 rounded-full hover:bg-purple-50 hover:text-purple-600 transition-colors"">"
includes/templates/components/biblioteca/generos-nav.php,97,#,ALTO,href_vacio,"<a href=""#"" class=""px-3 py-1.5 text-sm text-gray-600 bg-gray-50 rounded-full hover:bg-purple-50 hover:text-purple-600 transition-colors"">"
includes/templates/components/biblioteca/generos-nav.php,100,#,ALTO,href_vacio,"<a href=""#"" class=""px-3 py-1.5 text-sm text-gray-600 bg-gray-50 rounded-full hover:bg-purple-50 hover:text-purple-600 transition-colors"">"
includes/templates/components/biblioteca/generos-nav.php,103,#,ALTO,href_vacio,"<a href=""#"" class=""px-3 py-1.5 text-sm text-gray-600 bg-gray-50 rounded-full hover:bg-purple-50 hover:text-purple-600 transition-colors"">"
includes/templates/components/biblioteca/generos-nav.php,106,#,ALTO,href_vacio,"<a href=""#"" class=""px-3 py-1.5 text-sm text-gray-600 bg-gray-50 rounded-full hover:bg-purple-50 hover:text-purple-600 transition-colors"">"
includes/templates/components/biblioteca/generos-nav.php,109,#,ALTO,href_vacio,"<a href=""#"" class=""px-3 py-1.5 text-sm text-gray-600 bg-gray-50 rounded-full hover:bg-purple-50 hover:text-purple-600 transition-colors"">"
includes/templates/components/biblioteca/generos-nav.php,112,#,ALTO,href_vacio,"<a href=""#"" class=""px-3 py-1.5 text-sm text-gray-600 bg-gray-50 rounded-full hover:bg-purple-50 hover:text-purple-600 transition-colors"">"
